Concept,Concept_Frequency,E_mean,P_mean,A_mean,E_sd,P_sd,A_sd
feeling self conscious is,115,-1.474782606,-1.666086945,-1.319298245,1.755784599,1.713562352,1.553521667
feeling self satisfied is,102,2.489215677,2.051960792,-0.04019608,1.306943138,1.280372045,1.562129776
feeling sentimental is,100,1.779999988,0.44,-1.391999999,1.31164173,1.490373148,1.513219863
feeling serene is,103,3.018446597,1.533009704,-2.291262125,0.875118781,1.555470319,1.381893184
feeling shaken is,102,-2.320588224,-1.717647046,0.312745092,0.900202204,1.66901949,1.627466675
feeling shocked is,104,-0.763461539,-0.338461541,0.818269221,1.081266579,1.602141017,1.523522
feeling shook up is,94,-1.877659574,-1.337234034,0.759574467,1.141226872,1.728631993,1.756421036
feeling sickened is,103,-2.65825243,-1.456862737,-0.775728154,1.045299876,1.918410526,1.724134677
feeling smug is,104,-1.601923075,-0.059223297,-0.255769231,1.171007429,1.642955066,1.55012225
feeling sorrowful is,96,-1.593750004,-1.487499996,-1.986458322,1.707125164,1.70813841,1.26196336
feeling sorry is,93,0.654838706,-0.506521742,-1.252688168,1.763304464,1.845207877,1.122941728
feeling spirited is,136,2.540441169,1.844852936,1.758823519,1.007260951,1.088445703,1.414866591
feeling spiteful is,97,-2.383505146,-1.304123706,0.089690725,1.269241931,1.549187788,1.681794957
feeling squeamish is,94,-1.737234037,-1.555319146,-0.141489363,1.230699079,1.446881484,1.532263028
feeling tense is,102,-1.936274512,-0.974509801,0.37549019,1.11859081,1.531626083,1.636975966
feeling terrified is,88,-3.00454545,-1.896590908,1.126136357,1.003546482,2.265049228,1.987518186
feeling thrilled is,88,2.513636351,1.810227257,2.189772724,0.95136705,1.197990627,1.098592604
feeling tormented is,115,-3.234782608,-1.533913036,0.196521739,0.959170285,2.322086425,1.928772461
feeling troubled is,134,-2.316417905,-1.738059693,-0.644776119,1.079138761,1.499262711,1.599697672
feeling uncomfortable is,106,-1.795283013,-1.648113201,-1.374285716,1.44699242,1.693136337,1.418695808
feeling uneasy is,104,-1.897115381,-1.396153842,-0.742307686,1.211470797,1.540515805,1.526763961
feeling unhappy is,94,-2.886170206,-1.471276583,-1.945744679,1.167720058,2.212409877,1.421695556
feeling unsatisfied is,102,-2.268627456,-1.708823525,-0.90980392,1.166103814,1.328223924,1.34587818
feeling upset is,104,-2.152884619,-1.190384608,-0.050000003,1.09738938,1.515007069,1.613895967
feeling uptight is,91,-1.804395602,-1.000000001,0.223076921,0.919167752,1.481290725,1.563903713
feeling worried is,95,-1.801052627,-1.799999993,-0.551578944,1.147105028,1.744230611,1.674201179
God is,104,1.821153843,2.267961165,-0.660576925,2.489421227,2.585487915,2.425808575
to abandon someone is,101,-3.185148515,-0.42772276,-0.601980196,0.7750337,2.447861058,1.70792155
to abduct someone is,137,-3.528467155,1.47867647,2.066423345,0.728510665,2.100490528,1.642822055
to abet someone is,78,-0.603947365,0.751948051,0.714285712,1.698347491,1.143011994,1.095771088
to abhor someone is,80,-2.042499991,0.047499999,-0.182499995,1.190657191,1.575201413,1.608346498
to abort someone is,100,-1.808000003,1.017999997,0.623000003,1.72496113,2.126332261,1.86389702
to abuse someone is,104,-3.677884615,0.059615383,1.952884601,0.521006638,2.700324291,1.330081883
to accept someone is,103,2.861165036,2.245631058,0.015533978,0.944357141,1.264816242,1.700966125
to acclaim someone is,105,2.131428558,1.64615384,1.409523802,1.090105345,1.03604204,1.032037168
to accommodate someone is,101,2.426732661,1.412871281,0.087128717,1.042678387,1.261797396,1.382581885
to accost someone is,87,-2.114942523,0.947126436,1.831034466,1.452706268,1.594017821,1.222398542
to accuse someone is,105,-1.364423076,1.044761907,1.396190464,1.23696452,1.681058554,1.313313748
to acknowledge someone is,91,2.51758241,1.709890108,0.78241758,1.173275894,1.208309654,1.426307855
to address someone is,114,1.401754381,1.060526317,0.787719296,1.155286609,1.129148664,1.090274004
to admire someone is,136,2.002941163,0.67867647,-0.261029412,1.082243285,1.547346981,1.469500935
to admit someone is,95,0.5368421,0.861052633,0.451578942,1.218304762,1.262831569,1.265656263
to admonish someone is,181,-0.69060773,0.928176793,1.120994467,1.497802149,1.394326395,1.23576386
to adopt someone is,100,2.909999999,2.416999993,0.998999992,1.05806189,1.255537632,1.603184639
to adore someone is,136,2.21764705,0.947794113,0.19632353,1.203136781,1.621474719,1.570393104
to advise someone is,102,2.09803921,1.610784311,0.295049505,1.151751173,1.21279538,1.429921405
to aggravate someone is,103,-2.362135921,0.166990294,1.721359212,0.946108286,1.699099427,1.160514624
to agitate someone is,98,-2.225510204,0.284693881,1.910204075,1.163385684,1.525613076,1.112208704
to agree with someone is,92,1.476086954,0.936956516,0.28478261,1.393025765,1.433179611,1.401014911
to aid someone is,113,3.29203539,2.369026545,1.175221233,0.732430112,0.995622537,1.171196805
to alarm someone is,91,-0.730769232,1.193406589,2.223076915,1.652384951,1.271377391,0.931555083
to alert someone is,134,1.999253723,1.536567164,1.985074619,0.996648232,1.106545189,1.192993798
to alienate someone is,101,-2.547524748,0.282178215,-0.331683166,1.264325441,2.140999571,1.904674803
to allow someone is,102,1.139215678,0.988235289,-0.031372551,1.221924862,1.444847037,1.339423579
to amaze someone is,93,2.804301063,2.297849455,1.713978485,0.830520268,0.904695307,1.266765074
to amuse someone is,105,2.472380938,1.570192302,1.859047612,0.91246657,1.182631568,1.04049685
to analyze someone is,100,1.130999996,1.146999996,-0.692000001,1.31684464,1.263669096,1.670582064
